age,p1,p2.5,p5,p50,p75
60.5,1072354.0,1362469.39,1659983.51,4435960.94,6670680.04
60.58,1064878.08,1362350.12,1649527.59,4459953.97,6720113.85
60.67,1056545.97,1359834.58,1633672.79,4480589.02,6732361.32
60.75,1051169.22,1361851.1,1645151.14,4491183.86,6743120.82
60.83,1061282.89,1361914.78,1637973.39,4500274.51,6773473.27
60.92,1059780.57,1364707.21,1628155.08,4512462.43,6798736.64
61.0,1054319.44,1358132.8,1637774.31,4530550.94,6807921.22
61.08,1063637.59,1347627.61,1634791.03,4553634.24,6861637.98
61.17,1052853.89,1352950.15,1636372.79,4555861.48,6889729.93
61.25,1049671.41,1367316.26,1641710.22,4563642.1,6946258.91
61.33,1060458.69,1372391.75,1642248.94,4567551.66,6948516.2
61.42,1048126.88,1362606.78,1638657.86,4591063.01,6976114.49
61.5,1050342.76,1362079.45,1637929.76,4613801.95,7015215.91
61.58,1046490.65,1357600.23,1637393.72,4652893.63,7058533.74
61.67,1052516.73,1361088.81,1630645.66,4670509.71,7100965.25
61.75,1046249.95,1365272.45,1633356.66,4677601.51,7131830.84
61.83,1047525.43,1366129.09,1638941.78,4680812.93,7170796.58
61.92,1023412.4,1357844.76,1635197.82,4696912.13,7212681.15
62.0,1034355.57,1358781.88,1637626.99,4699910.53,7233372.8
62.08,1021905.66,1352883.09,1634507.09,4711121.52,7292944.33
62.17,1023921.27,1351642.09,1641970.63,4724901.01,7308606.61
62.25,1026394.43,1345601.53,1637542.43,4751078.63,7355707.9
62.33,1025581.55,1338934.12,1634275.9,4767603.94,7399637.8
62.42,1027573.01,1339730.1,1652097.6,4802008.42,7387040.01
62.5,1031864.14,1339581.7,1643944.51,4797600.27,7418982.84
62.58,1031125.83,1343797.06,1638188.14,4812250.61,7462779.65
62.67,1029999.15,1337478.95,1640482.19,4824477.3,7480445.86
62.75,1023498.05,1330836.01,1625115.57,4849424.27,7532138.39
62.83,1034001.21,1328896.89,1643606.86,4848313.07,7559058.26
62.92,1023704.59,1331532.91,1637074.84,4875090.73,7584900.1
63.0,1028530.74,1337210.02,1640336.51,4895095.56,7615957.79
63.08,1015521.27,1337291.48,1645272.79,4899000.7,7643389.12
63.17,1028990.05,1327525.09,1633270.73,4925948.0,7689312.99
63.25,1024883.33,1323934.77,1640495.71,4925311.9,7706196.44
63.33,1013611.98,1329694.25,1642678.41,4959513.53,7753164.54
63.42,1018054.21,1330237.2,1651814.55,4959675.27,7771229.19
63.5,1018038.04,1329239.21,1648887.24,4983830.22,7789125.97
63.58,1021646.5,1310704.62,1647363.77,5012021.72,7830142.58
63.67,1011901.51,1324121.19,1660720.05,5016739.92,7840211.03
63.75,1029900.13,1325708.28,1657321.51,5040904.27,7866501.23
63.83,1030504.81,1322915.85,1662705.12,5048251.68,7888664.6
63.92,1017209.44,1322684.59,1645812.23,5057386.11,7902991.69
64.0,1015521.96,1311036.26,1654657.13,5062775.09,7935151.11
64.08,1018198.59,1301362.78,1669459.39,5086495.48,7998800.47
64.17,1018072.14,1294245.8,1671898.02,5112658.81,8060556.6
64.25,1009370.2,1300142.96,1667699.94,5134312.73,8093849.34
64.33,992296.96,1284848.8,1672235.21,5161857.01,8121345.95
